scale,site_id,plant,roi_id,roi_type,primary_roi_id,ndvi,date
2,P9,grass,17-2-1,subset,17,0.15310464799404144,2019-04-18
2,P9,grass,17-2-2,subset,17,0.15763574838638306,2019-04-18
2,P9,grass,17-2-3,subset,17,0.14760743081569672,2019-04-18
0.5,P9,grass,18-0.5-1,subset,18,0.10663267225027084,2019-04-18
0.5,P9,grass,18-0.5-2,subset,18,0.15584799647331238,2019-04-18
0.5,P9,grass,18-0.5-3,subset,18,0.12225041538476944,2019-04-18
0.5,P9,grass,18-0.5-4,subset,18,0.09821341931819916,2019-04-18
0.5,P9,grass,18-0.5-5,subset,18,0.1295275241136551,2019-04-18
0.5,P9,grass,18-0.5-6,subset,18,0.10319342464208603,2019-04-18
0.5,P9,grass,18-0.5-7,subset,18,0.14108818769454956,2019-04-18
0.5,P9,grass,18-0.5-8,subset,18,0.1425926238298416,2019-04-18
1,P9,grass,18-1-1,subset,18,0.10138440877199173,2019-04-18
1,P9,grass,18-1-2,subset,18,0.11676836758852005,2019-04-18
1,P9,grass,18-1-3,subset,18,0.11746279895305634,2019-04-18
1,P9,grass,18-1-4,subset,18,0.11699822545051575,2019-04-18
2,P9,grass,18-2-1,subset,18,0.11251360177993774,2019-04-18
2,P9,grass,18-2-2,subset,18,0.11186225712299347,2019-04-18
2,P9,grass,18-2-3,subset,18,0.12435537576675415,2019-04-18
0.5,P9,grass,19-0.5-1,subset,19,0.10576125979423523,2019-04-18
0.5,P9,grass,19-0.5-2,subset,19,0.09543322771787643,2019-04-18
0.5,P9,grass,19-0.5-3,subset,19,0.11077257990837097,2019-04-18
0.5,P9,grass,19-0.5-4,subset,19,0.11954313516616821,2019-04-18
0.5,P9,grass,19-0.5-5,subset,19,0.09948665648698807,2019-04-18
0.5,P9,grass,19-0.5-6,subset,19,0.1172630786895752,2019-04-18
0.5,P9,grass,19-0.5-7,subset,19,0.09512437880039215,2019-04-18
0.5,P9,grass,19-0.5-8,subset,19,0.13516020774841309,2019-04-18
1,P9,grass,19-1-1,subset,19,0.11327481269836426,2019-04-18
1,P9,grass,19-1-2,subset,19,0.12234384566545486,2019-04-18
1,P9,grass,19-1-3,subset,19,0.10441219806671143,2019-04-18
